Ambient Temperature(C): 26.1
Ambient Pressure(in Hg): 30.06
30.06
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)
17.00	26.50	25.30	-0.10	1.10	0.00
17.10	26.70	25.50	0.20	0.50	0.00
17.20	26.50	25.40	0.20	1.00	0.00
17.30	26.50	25.40	1.00	0.70	0.00
17.40	26.60	25.50	0.20	0.70	0.00
17.50	26.60	25.50	0.00	0.80	0.00
17.60	26.70	25.40	0.40	0.80	0.00
17.70	26.60	25.30	0.80	0.40	0.00
17.80	26.60	25.30	0.40	0.80	0.00
17.90	26.70	25.50	0.40	0.80	0.00
18.00	26.70	25.40	0.50	1.00	0.00
18.10	26.60	25.40	0.40	0.70	0.00
18.20	26.60	25.40	0.20	0.70	0.00
18.30	26.60	25.30	0.00	0.50	0.00
18.40	26.80	25.40	0.40	0.70	0.00
18.50	26.80	25.40	0.20	0.70	0.00
18.60	26.60	25.40	0.50	1.00	0.00
18.70	26.60	25.50	0.70	0.80	0.00
18.80	26.60	25.50	0.70	0.80	0.00
18.90	26.70	25.40	0.70	0.40	0.00
19.00	26.70	25.40	0.40	0.50	0.00
19.10	26.60	25.40	-0.90	1.00	0.00
19.20	26.70	25.40	-0.30	1.10	0.00
19.30	26.70	25.40	0.00	1.00	0.00
19.40	26.70	25.30	0.40	0.50	0.00
19.50	26.70	25.50	-0.10	0.70	0.00
19.60	26.70	25.50	0.20	0.70	0.00
19.70	26.70	25.40	0.20	0.70	0.00
19.80	26.70	25.40	0.20	1.00	0.00
19.90	26.70	25.40	0.50	0.70	0.00
20.00	26.80	25.50	0.20	1.00	0.00
20.10	26.80	25.50	-0.10	0.80	0.00
20.20	26.70	25.40	0.00	0.50	0.00
20.30	26.70	25.50	-0.10	1.00	0.00
20.40	26.70	25.50	0.40	1.00	0.00
20.50	26.70	25.40	-0.70	0.70	0.00
20.60	26.70	25.40	-0.70	0.70	0.00
20.70	26.70	25.40	0.00	0.70	0.00
20.80	26.70	25.40	0.00	1.10	0.00
20.90	26.70	25.40	-0.10	0.80	0.00
21.00	26.60	25.40	0.50	0.50	0.00
21.10	26.60	25.40	0.40	1.00	0.00
21.20	26.60	25.50	0.20	0.80	0.00
21.30	26.60	25.50	0.40	0.50	0.00
21.40	26.80	25.30	0.40	0.80	0.00
21.50	26.70	25.40	0.40	0.80	0.00
21.60	26.70	25.40	0.00	1.30	0.00
21.70	26.70	25.40	-0.10	1.00	0.00
21.80	26.70	25.40	0.20	0.80	0.00
21.90	26.70	25.40	0.00	0.50	0.00
22.00	26.70	25.50	0.20	1.10	0.00
22.10	26.80	25.40	0.20	1.40	0.00
22.20	26.80	25.40	0.20	0.70	0.00
22.30	26.60	25.40	0.20	1.10	0.00
22.40	26.80	25.40	0.20	1.10	0.00
22.50	26.80	25.40	0.70	0.50	0.00
22.60	26.60	25.40	-0.10	0.80	0.00
22.70	26.80	25.50	0.20	1.00	0.00
22.80	26.70	25.40	0.40	1.10	0.00
22.90	26.70	25.40	0.00	0.70	0.00
23.00	26.60	25.40	-0.10	1.00	0.00
23.10	26.60	25.40	0.40	0.70	0.00
23.20	26.80	25.50	0.40	1.30	0.00
23.30	26.70	25.40	0.40	1.30	0.00
23.40	26.70	25.40	0.00	0.50	0.00
23.50	26.70	25.40	0.20	0.20	0.00
23.60	26.70	25.50	-0.40	1.10	0.00
23.70	26.70	25.40	0.00	1.90	0.00
23.80	26.70	25.40	0.20	0.40	0.00
23.90	26.80	25.50	-0.10	0.70	0.00
24.00	26.80	25.50	0.40	0.70	0.00
24.10	26.70	25.50	0.20	1.10	0.00
24.20	26.80	25.40	0.20	1.10	0.00
24.30	26.60	25.40	0.40	1.00	0.00
24.40	26.60	25.40	0.40	1.00	0.00
24.50	26.70	25.40	0.20	0.80	0.00
24.60	26.70	25.30	-0.10	0.80	0.00
24.70	26.70	25.30	0.20	0.80	0.00
24.80	26.70	25.50	0.40	0.80	0.00
24.90	26.70	25.40	0.50	0.70	0.00
25.00	26.70	25.40	-0.10	2.00	0.00
25.10	26.70	25.40	-0.10	2.00	0.00
25.20	26.70	25.50	0.20	0.20	0.00
25.30	26.70	25.50	0.20	0.70	0.00
25.40	26.60	25.40	0.20	1.00	0.00
25.50	26.70	25.50	0.40	0.70	0.00
25.60	26.70	25.50	0.40	0.50	0.00
25.70	26.80	25.50	0.20	1.00	0.00
25.80	26.70	25.60	-1.50	1.10	0.00
25.90	26.70	25.60	0.50	0.80	0.00
26.00	26.70	25.50	0.50	0.80	0.00
26.10	26.80	25.50	-0.10	0.80	0.00
26.20	26.80	25.50	0.40	0.40	0.00
26.30	26.70	25.50	0.20	1.10	0.00
26.40	26.60	25.50	0.20	0.70	0.00
26.50	26.60	25.50	0.20	1.00	0.00
26.60	26.70	25.40	0.00	0.70	0.00
26.70	26.80	25.40	0.00	1.10	0.00
26.80	26.80	25.40	0.00	0.40	0.00
26.90	26.70	25.40	0.00	0.40	0.00
27.00	26.50	25.30	-0.10	0.80	0.00
27.10	26.50	25.30	0.20	1.30	0.00
27.20	26.80	25.40	0.20	0.40	0.00
27.30	26.80	25.40	0.50	0.50	0.00
27.40	26.60	25.30	-0.10	0.70	0.00
27.50	26.70	25.50	0.80	0.50	0.00
27.60	26.70	25.50	0.20	0.50	0.00
27.70	26.90	25.60	0.20	0.70	0.00
27.80	26.70	25.40	0.70	0.50	0.00
27.90	26.70	25.40	0.50	0.80	0.00
28.00	26.70	25.40	0.50	0.70	0.00
28.10	26.70	25.40	0.70	0.80	0.00
28.20	26.70	25.40	0.40	1.00	0.00
28.30	26.70	25.40	0.40	1.10	0.00
28.40	26.70	25.50	0.20	0.70	0.00
28.50	26.70	25.50	0.00	1.00	0.00
28.60	26.70	25.40	0.40	0.70	0.00
28.70	26.70	25.40	0.20	0.50	0.00
28.80	26.60	25.30	0.20	1.00	0.00
28.90	26.80	25.50	0.70	0.50	0.00
29.00	26.80	25.50	0.70	0.70	0.00
29.10	26.80	25.50	0.40	0.70	0.00
29.20	26.50	25.30	-0.60	0.70	0.00
29.30	26.50	25.30	0.20	0.70	0.00
29.40	26.50	25.40	0.00	0.50	0.00
29.50	26.50	25.40	0.00	1.30	0.00
29.60	26.70	25.40	0.00	1.30	0.00
29.70	26.60	25.40	0.50	0.80	0.00
29.80	26.60	25.40	0.20	1.10	0.00
29.90	26.80	25.50	0.20	1.00	0.00
30.00	26.70	25.40	0.00	1.00	0.00
30.10	26.80	25.50	0.00	1.10	0.00
30.20	26.80	25.50	0.00	0.70	0.00
30.30	26.60	25.40	-0.30	0.70	0.00
30.40	26.60	25.40	0.40	0.70	0.00
30.50	26.70	25.40	0.40	0.70	0.00
30.60	26.70	25.60	0.00	1.00	0.00
30.70	26.70	25.30	0.20	0.80	0.00
30.80	26.70	25.30	0.20	1.30	0.00
30.90	26.60	25.40	0.20	0.50	0.00
31.00	26.60	25.40	0.40	1.00	0.00
31.10	26.80	25.40	0.00	0.80	0.00
31.20	26.60	25.40	-0.10	1.00	0.00
31.30	26.60	25.40	0.00	0.40	0.00
31.40	26.70	25.50	0.00	0.40	0.00
31.50	26.70	25.50	0.00	0.70	0.00
31.60	26.70	25.50	0.50	0.50	0.00
31.70	26.70	25.40	-0.30	1.00	0.00
31.80	26.80	25.40	-0.30	1.10	0.00
31.90	26.80	25.40	0.70	0.40	0.00
32.00	26.70	25.50	0.70	0.50	0.00
32.10	26.70	25.40	0.20	0.70	0.00
32.20	26.70	25.40	-0.10	1.00	0.00
32.30	26.80	25.40	0.20	1.10	0.00
32.40	26.70	25.50	0.40	0.70	0.00
32.50	26.70	25.50	0.00	1.00	0.00
32.60	26.70	25.40	0.00	1.10	0.00
32.70	26.70	25.40	-0.10	0.80	0.00
32.80	26.60	25.40	0.50	1.10	0.00
32.90	26.70	25.40	0.00	1.00	0.00
33.00	26.70	25.40	-1.20	0.80	0.00
33.10	26.60	25.50	-1.20	0.80	0.00
33.20	26.70	25.30	0.40	0.40	0.00
33.30	26.70	25.40	0.70	0.20	0.00
33.40	26.70	25.40	0.40	0.80	0.00
33.50	26.70	25.40	-0.40	0.80	0.00
33.60	26.70	25.40	0.40	0.80	0.00
33.70	26.60	25.40	0.40	0.70	0.00
33.80	26.80	25.50	0.20	1.30	0.00
33.90	26.80	25.50	0.50	0.80	0.00
34.00	26.60	25.40	0.50	0.80	0.00
34.10	26.80	25.50	0.40	0.80	0.00
34.20	26.80	25.50	0.70	0.50	0.00
34.30	26.70	25.60	0.50	0.50	0.00
34.40	26.70	25.40	0.40	1.10	0.00
34.50	26.70	25.40	0.40	-0.10	0.00
34.60	26.70	25.40	0.40	0.80	0.00
34.70	26.70	25.60	-0.10	0.50	0.00
34.80	26.70	25.60	-0.10	0.70	0.00
34.90	26.60	25.40	-0.10	0.70	0.00
35.00	26.70	25.50	0.70	0.20	0.00
35.10	26.80	25.60	0.00	1.00	0.00
35.20	26.80	25.60	0.00	0.50	0.00
35.30	26.70	25.50	-0.10	0.80	0.00
35.40	26.60	25.30	0.50	-1.20	0.00
35.50	26.60	25.30	0.40	0.80	0.00
35.60	26.70	25.50	0.40	0.80	0.00
35.70	26.70	25.50	0.20	0.80	0.00
35.80	26.70	25.50	0.20	0.80	0.00
35.90	26.60	25.50	-0.10	0.70	0.00
36.00	26.70	25.50	0.40	0.70	0.00
36.10	26.70	25.50	0.20	1.10	0.00
36.20	26.70	25.50	0.40	-0.10	0.00
36.30	26.70	25.50	0.40	1.10	0.00
36.40	26.70	25.50	0.20	0.70	0.00
36.50	26.70	25.40	0.00	0.70	0.00
36.60	26.70	25.50	0.00	1.00	0.00
36.70	26.70	25.50	0.00	1.00	0.00
36.80	26.70	25.50	0.80	0.40	0.00
36.90	26.70	25.50	-0.10	1.10	0.00
37.00	26.70	25.50	0.20	1.00	0.00
37.10	26.80	25.50	0.40	0.40	0.00
37.20	26.70	25.50	0.40	0.80	0.00
37.30	26.70	25.50	0.80	0.50	0.00
37.40	26.70	25.40	0.20	1.10	0.00
37.50	26.80	25.60	0.20	1.00	0.00
37.60	26.80	25.60	0.20	1.00	0.00
37.70	26.70	25.40	0.20	1.10	0.00
37.80	26.80	25.50	0.20	0.80	0.00
37.90	26.80	25.50	0.40	1.00	0.00
38.00	26.60	25.40	0.40	0.20	0.00
38.10	26.60	25.40	0.40	1.00	0.00
38.20	26.70	25.40	0.20	-0.10	0.00
38.30	26.80	25.40	0.40	0.80	0.00
38.40	26.80	25.40	0.20	0.70	0.00
38.50	26.80	25.50	0.20	0.70	0.00
38.60	26.70	25.50	0.20	1.30	0.00
38.70	26.70	25.50	0.40	1.10	0.00
38.80	26.60	25.40	0.40	1.10	0.00
38.90	26.60	25.40	-0.40	1.10	0.00
39.00	26.60	25.40	0.40	0.50	0.00
39.10	26.70	25.40	0.40	0.70	0.00
39.20	26.70	25.40	0.00	1.30	0.00
39.30	26.80	25.60	0.50	0.80	0.00
39.40	26.80	25.50	0.40	1.00	0.00
39.50	26.80	25.50	0.20	0.70	0.00
39.60	26.80	25.50	-0.10	0.80	0.00
39.70	26.70	25.50	0.20	0.80	0.00
39.80	26.70	25.50	0.70	1.00	0.00
39.90	26.80	25.50	0.00	0.50	0.00
40.00	26.70	25.50	0.50	1.30	0.00
40.10	26.70	25.50	0.20	0.50	0.00
40.20	26.70	25.50	0.20	0.50	0.00
40.30	26.60	25.50	0.20	0.50	0.00
40.40	26.80	25.50	0.50	0.70	0.00
40.50	26.80	25.50	0.40	1.00	0.00
40.60	26.70	25.40	-0.10	1.00	0.00
40.70	26.60	25.40	0.40	0.80	0.00
40.80	26.60	25.40	0.40	0.50	0.00
40.90	26.80	25.50	0.00	1.00	0.00
41.00	26.80	25.50	0.20	0.80	0.00
41.10	26.70	25.60	0.20	0.80	0.00
41.20	26.80	25.40	0.50	0.80	0.00
41.30	26.60	25.40	0.00	0.40	0.00
41.40	26.60	25.40	-0.10	1.00	0.00
41.50	26.70	25.30	-0.10	0.40	0.00
41.60	26.70	25.60	0.40	0.50	0.00
41.70	26.70	25.60	0.40	0.50	0.00
41.80	26.60	25.40	0.50	0.70	0.00
41.90	26.60	25.40	0.20	0.80	0.00
42.00	26.90	25.50	0.20	0.80	0.00
42.10	26.70	25.50	0.40	0.70	0.00
42.20	26.70	25.50	0.00	1.00	0.00
42.30	26.70	25.40	-0.10	0.80	0.00
42.40	26.70	25.50	0.00	0.80	0.00
42.50	26.70	25.50	0.20	0.50	0.00
42.60	26.80	25.70	0.50	0.80	0.00
42.70	26.70	25.40	-0.10	1.10	0.00
42.80	26.70	25.40	-0.40	0.50	0.00
42.90	26.70	25.40	-0.40	0.50	0.00
43.00	26.70	25.60	1.00	1.10	0.00
43.10	26.70	25.60	2.20	1.10	0.00
43.20	26.80	25.60	2.20	0.80	0.00
43.30	27.60	25.50	2.20	1.40	0.00
43.40	27.60	25.50	2.00	1.10	0.00
43.50	27.70	25.60	1.70	1.10	0.00
43.60	27.80	25.60	2.40	1.70	0.00
43.70	27.80	25.60	1.90	1.30	0.00
43.80	27.80	25.60	2.00	1.10	0.00
43.90	27.70	25.50	2.00	1.10	0.00
44.00	27.70	25.50	2.00	1.00	0.00
44.10	27.70	25.50	2.20	1.00	0.00
44.20	27.40	25.40	2.20	1.10	0.00
44.30	27.60	25.40	1.60	1.00	0.00
44.40	27.60	25.40	1.70	1.30	0.00
44.50	27.50	25.60	2.00	1.10	0.00
44.60	27.50	25.60	1.70	0.20	0.00
44.70	27.30	25.50	1.70	0.20	0.00
44.80	27.40	25.60	1.90	0.80	0.00
44.90	27.40	25.60	2.00	0.70	0.00
45.00	27.30	25.50	2.00	1.00	0.00
45.10	27.10	25.50	2.00	1.10	0.00
45.20	27.10	25.50	1.90	1.00	0.00
45.30	27.10	25.50	1.90	0.80	0.00
45.40	27.10	25.60	1.90	1.90	0.00
45.50	27.10	25.60	1.90	1.30	0.00
45.60	27.00	25.50	1.90	1.30	0.00
45.70	27.00	25.60	1.90	1.10	0.00
45.80	27.00	25.60	2.20	1.00	0.00
45.90	27.20	25.60	2.50	0.80	0.00
46.00	27.00	25.60	1.90	1.00	0.00
46.10	27.00	25.60	1.90	1.10	0.00
46.20	27.10	25.70	2.20	1.40	0.00
46.30	27.00	25.50	2.00	1.10	0.00
46.40	27.00	25.60	1.90	1.40	0.00
46.50	27.00	25.60	1.90	1.40	0.00
46.60	27.00	25.50	1.60	1.00	0.00
46.70	27.00	25.50	1.70	0.50	0.00
46.80	27.00	25.50	1.90	1.10	0.00
46.90	27.00	25.70	1.70	1.30	0.00
47.00	27.00	25.70	2.20	1.00	0.00
47.10	27.00	25.60	2.00	1.10	0.00
47.20	26.90	25.60	2.40	1.10	0.00
47.30	26.90	25.60	2.00	1.10	0.00
47.40	26.90	25.60	2.00	1.10	0.00
47.50	26.90	25.60	2.20	-1.20	8.31
47.60	26.90	25.60	2.40	1.60	38.09
47.70	26.90	25.40	0.80	1.30	45.57
47.80	27.10	25.60	2.50	1.00	49.82
47.90	27.10	25.60	2.70	0.80	51.08
48.00	27.20	25.60	2.20	1.40	51.40
48.10	27.40	25.60	2.20	1.10	51.44
48.20	27.40	25.60	2.50	1.30	51.27
48.30	27.60	25.60	2.50	1.30	50.97
48.40	27.70	25.70	3.10	0.80	50.76
48.50	27.70	25.70	3.40	1.00	50.54
48.60	27.90	25.60	3.30	-0.60	50.25
48.70	27.90	25.60	3.70	0.70	50.13
48.80	28.10	25.60	3.40	0.80	49.98
48.90	28.20	25.50	3.60	1.00	49.83
49.00	28.20	25.50	3.70	0.80	49.72
49.10	28.40	25.70	3.60	1.00	49.51
49.20	28.40	25.50	3.60	1.00	49.43
49.30	28.40	25.50	4.80	0.70	49.41
49.40	28.50	25.60	4.40	0.80	49.65
49.50	28.70	25.60	4.40	1.10	49.96
49.60	28.70	25.60	4.70	1.10	50.20
49.70	28.70	25.70	4.40	1.10	50.36
49.80	28.70	25.60	4.80	1.00	50.32
49.90	28.70	25.60	4.70	1.00	50.28
50.00	28.90	25.60	5.00	0.70	50.24
50.10	29.00	25.60	5.00	0.70	50.15
50.20	29.00	25.60	5.30	1.10	50.10
50.30	29.00	25.60	5.00	1.00	50.00
50.40	29.10	25.60	5.40	1.00	49.88
50.50	29.10	25.60	5.40	1.30	49.83
50.60	29.00	25.60	5.70	0.80	49.80
50.70	29.20	25.70	5.70	1.30	49.69
50.80	29.20	25.70	5.60	0.80	49.59
50.90	29.20	25.70	5.70	1.30	49.59
51.00	29.00	25.60	5.70	1.30	49.60
51.10	29.30	25.60	5.70	1.10	49.83
51.20	29.30	25.60	6.70	0.80	50.18
51.30	29.30	25.80	6.80	1.00	50.34
51.40	29.40	25.70	6.80	1.10	50.36
51.50	29.40	25.70	6.40	1.10	50.34
51.60	29.40	25.50	6.70	1.00	50.27
51.70	29.40	25.60	6.70	1.30	50.24
51.80	29.40	25.60	6.70	1.30	50.20
51.90	29.40	25.60	6.70	1.30	50.15
52.00	29.50	25.70	6.80	1.30	50.11
52.10	29.50	25.70	7.30	0.80	50.04
52.20	29.40	25.60	7.40	1.00	49.99
52.30	29.40	25.60	7.30	1.00	49.93
52.40	29.40	25.60	7.40	1.40	49.88
52.50	29.60	25.70	7.70	1.00	49.88
52.60	29.50	25.70	8.00	1.00	49.81
52.70	29.50	25.60	8.00	0.20	49.75
52.80	29.50	25.60	8.00	0.20	49.72
52.90	29.50	25.60	8.20	1.40	49.73
53.00	29.50	25.60	8.40	1.90	49.63
53.10	29.60	25.70	8.70	1.30	49.60
53.20	29.60	25.60	8.80	1.10	49.56
53.30	29.60	25.60	9.00	0.00	49.51
53.40	29.70	25.70	8.50	0.80	49.48
53.50	29.50	25.80	8.50	1.00	49.50
53.60	29.50	25.80	8.70	1.10	49.48
53.70	29.90	25.50	8.70	1.10	49.72
53.80	29.70	25.70	8.80	1.10	50.14
53.90	29.70	25.70	9.30	1.00	50.31
54.00	29.70	25.70	9.00	1.40	50.43
54.10	29.80	25.60	9.30	0.70	50.39
54.20	29.80	25.60	9.40	1.00	50.37
54.30	29.70	25.80	9.60	1.00	50.30
54.40	29.90	25.60	9.40	1.00	50.26
54.50	29.90	25.60	9.70	1.10	50.20
54.60	29.80	25.60	9.70	1.10	50.20
54.70	29.80	25.60	10.10	1.40	50.19
54.80	29.80	25.60	9.90	1.10	50.18
54.90	29.90	25.60	9.90	0.80	50.14
55.00	29.90	25.50	9.90	0.50	50.06
55.10	29.90	25.50	10.50	1.30	50.05
55.20	29.80	25.50	10.80	1.30	50.02
55.30	29.80	25.50	10.70	1.30	49.95
55.40	29.80	25.50	11.30	0.50	49.93
55.50	29.90	25.60	11.30	0.50	49.93
55.60	29.90	25.60	11.10	1.00	49.87
55.70	29.90	25.60	11.40	1.30	49.89
55.80	29.90	25.60	11.40	1.10	49.81
55.90	29.80	25.60	11.60	1.00	49.78
56.00	29.80	25.60	11.60	1.00	49.74
56.10	29.90	25.70	11.90	0.80	49.79
56.20	29.90	25.50	11.40	1.00	49.76
56.30	30.00	25.60	11.70	1.10	49.74
56.40	30.00	25.60	11.70	1.10	49.67
56.50	30.00	25.50	11.90	1.30	49.67
56.60	30.00	25.50	11.90	1.30	49.61
56.70	29.90	25.50	12.10	0.80	49.61
56.80	30.10	25.50	12.40	1.90	49.67
56.90	30.10	25.50	12.20	1.40	49.75
57.00	29.80	25.50	12.40	0.80	49.82
